2026-05-09 04:55:20,390 | root | INFO | Logging to /Users/knight/code_local/HFT-pipeline-v2/hft-ops/ledger/runs/cycle5_multi_arm_20260509T025453/logs/train_20260509_045520.log
2026-05-09 04:55:20,390 | __main__ | INFO | Starting experiment: cycle5_multi_arm_base
2026-05-09 04:55:20,390 | __main__ | INFO | Output directory: /Users/knight/code_local/HFT-pipeline-v2/hft-ops/ledger/runs/cycle5_multi_arm_20260509T025453
2026-05-09 04:55:20,392 | __main__ | INFO | Saved config to /Users/knight/code_local/HFT-pipeline-v2/hft-ops/ledger/runs/cycle5_multi_arm_20260509T025453/config.yaml
2026-05-09 04:55:20,393 | lobtrainer.utils.reproducibility | DEBUG | Set seed=42, deterministic_cudnn=True, cuda_available=False
2026-05-09 04:55:20,393 | __main__ | INFO | Set random seed: 42
2026-05-09 04:55:20,406 | lobtrainer.training.trainer | INFO | Trainer initialized: device=mps, output_dir=/Users/knight/code_local/HFT-pipeline-v2/hft-ops/ledger/runs/cycle5_multi_arm_20260509T025453
2026-05-09 04:55:20,406 | __main__ | INFO | Starting training...
2026-05-09 04:55:20,407 | lobtrainer.utils.reproducibility | DEBUG | Set seed=42, deterministic_cudnn=True, cuda_available=False
2026-05-09 04:55:20,407 | lobtrainer.training.callbacks | INFO | MetricLogger: saved history to /Users/knight/code_local/HFT-pipeline-v2/hft-ops/ledger/runs/cycle5_multi_arm_20260509T025453/training_history.json
2026-05-09 04:55:20,407 | lobtrainer.training.monitoring | INFO | TrainingDiagnostics summary: 0 issues, 0 warnings across 0 epochs
2026-05-09 04:55:20,407 | lobtrainer.training.monitoring | INFO | TrainingDiagnostics: saved report to /Users/knight/code_local/HFT-pipeline-v2/hft-ops/ledger/runs/cycle5_multi_arm_20260509T025453/training_diagnostics.json
